CODIGO_PROYECTO,TIPO_CUENTA,FECHA,AÑO,MES,CREDITO,DEBITO,TOTAL,MARGEN
P-1696,COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1696,INGRESO,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1696,COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1696,COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1696,COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1696,INGRESO,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1696,COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1696,COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1696,COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1696,INGRESO,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1696,COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1696,COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1696,COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1696,INGRESO,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1696,COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1696,COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1696,COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1696,INGRESO,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1696,COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1696,COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1696,COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1697,INGRESO,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1697,COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1697,COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1697,COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1697,INGRESO,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1697,COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1697,COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1697,COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1697,INGRESO,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1697,COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1697,COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1697,COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1697,INGRESO,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1697,COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1697,COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1697,COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1697,INGRESO,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1697,COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1697,COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1697,COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1697,INGRESO,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1697,COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1697,COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1697,COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1698,INGRESO,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1698,COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1698,COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1698,COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1698,INGRESO,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1698,COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1698,COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1698,COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1698,INGRESO,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1698,COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1698,COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1698,COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1698,INGRESO,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1698,COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1698,COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1698,COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1698,INGRESO,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1698,COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1698,COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1698,COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1698,INGRESO,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1698,COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1698,COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1698,COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1699,INGRESO,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1699,COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1699,COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1699,COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1699,INGRESO,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1699,COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1699,COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1699,COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1699,INGRESO,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1699,COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1699,COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1699,COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1699,INGRESO,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1699,COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1699,COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1699,COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1699,INGRESO,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1699,COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1699,COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1699,COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1699,INGRESO,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1699,COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1699,COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1699,COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1700,INGRESO,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1700,COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1700,COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1700,COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1700,INGRESO,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1700,COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1700,COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1700,COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1700,INGRESO,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1700,COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1700,COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1700,COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1700,INGRESO,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1700,COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1700,COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1700,COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1700,INGRESO,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1700,COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1700,COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1700,COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1700,INGRESO,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1700,COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1700,COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1700,COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1701,INGRESO,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1701,COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1701,COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1701,COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1701,INGRESO,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1701,COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1701,COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1701,COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1701,INGRESO,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1701,COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1701,COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1701,COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1701,INGRESO,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1701,COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1701,COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1701,COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1701,INGRESO,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1701,COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1701,COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1701,COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1701,INGRESO,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1701,COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1701,COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1701,COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1703,INGRESO,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1703,COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1703,COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1703,COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1703,INGRESO,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1703,COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1703,COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1703,COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1703,INGRESO,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1703,COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1703,COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1703,COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1703,INGRESO,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1703,COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1703,COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1703,COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1703,INGRESO,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1703,COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1703,COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1703,COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1703,INGRESO,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1703,COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1703,COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1703,COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1704,INGRESO,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1704,COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1704,COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1704,COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1704,INGRESO,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1704,COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1704,COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1704,COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1704,INGRESO,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1704,COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1704,COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1704,COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1704,INGRESO,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1704,COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1704,COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1704,COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1704,INGRESO,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1704,COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1704,COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1704,COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1704,INGRESO,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1704,COSTO MATERIALES,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1704,COSTO MANO DE OBRA,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1704,COSTO SUPERVISIÓN,2023-06-01,2023.0,6.0,0,0,0,0.0
P-1705,INGRESO,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1705,COSTO MATERIALES,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1705,COSTO MANO DE OBRA,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1705,COSTO SUPERVISIÓN,2023-04-01,2023.0,4.0,0,0,0,0.0
P-1705,INGRESO,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1705,COSTO MATERIALES,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1705,COSTO MANO DE OBRA,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1705,COSTO SUPERVISIÓN,2023-01-01,2023.0,1.0,0,0,0,0.0
P-1705,INGRESO,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1705,COSTO MATERIALES,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1705,COSTO MANO DE OBRA,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1705,COSTO SUPERVISIÓN,2023-02-01,2023.0,2.0,0,0,0,0.0
P-1705,INGRESO,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1705,COSTO MATERIALES,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1705,COSTO MANO DE OBRA,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1705,COSTO SUPERVISIÓN,2023-03-01,2023.0,3.0,0,0,0,0.0
P-1705,INGRESO,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1705,COSTO MATERIALES,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1705,COSTO MANO DE OBRA,2023-05-01,2023.0,5.0,0,0,0,0.0
P-1705,COSTO SUPERVISIÓN,2023-05-01,2023.0,5.0,0,0,0,0.0
