Part_Number,Descripcion,Categoria,Familia,Costo_Promedio,Ultimo_x0020_Costo,Fecha_Ultima_Compra
S11291811,"Magnetico Sobrepuesto 7/8"" Blanco UL",S11,29,1281,1028,2023-06-16T00:00:00-04:00
S11291812,"Magnetico Sobrepuesto 7/8"" Cafe UL",S11,29,1036,960,2023-06-16T00:00:00-04:00
S11291823,Magnetico inalambrico con input DSC Neo PG9945,S11,29,18641,18641.205,2018-10-01T00:00:00-03:00
S11291824,Detector infrarrojo inalambrico anti mascota DSC Neo,S11,29,134800,,
S11291827,Contacto magnetico GE-UTC Magnapull 1005-N,S11,29,6374,6373.936,2018-10-01T00:00:00-03:00
S11291852,Rayo Infrarrojo exterior PIR doble tecnologia Risco Whatchout 15M,S11,29,93900,93900,2018-11-26T00:00:00-03:00
S11292439,Rayo Lineal Doble Haz 15 M Interior Garrison,S11,29,24390,24390,2012-11-27T00:00:00-03:00
S11292446,"Magnetico Sobrepuesto 7/8"" Blanco",S11,29,903,902.5,2023-06-19T00:00:00-04:00
S11292572,Pedestal Ultra Dual primario Sensormatic (paleta antena EAS),S11,29,778906,778905.9,2018-04-25T00:00:00-03:00
S11292573,Etiqueta para RIT (ley de ducto AZUL),S11,29,100,100,2023-06-19T00:00:00-04:00
S11292574,Desactivador Sensormatic AMB-2011 Value Pad II para Ultra Strip,S11,29,178000,178000,2014-08-18T00:00:00-04:00
S11292575,Re-activador Sensormatic Wand para Ultra Strip,S11,29,196000,196000,2014-08-18T00:00:00-04:00
S11292580,Etiqueta para RIT (ley de ducto ROJO),S11,29,100,100,2023-06-19T00:00:00-04:00
S11292590,Etiqueta para RIT (ley de ducto AMARILLO),S11,29,100,100,2023-06-19T00:00:00-04:00
S11292605,Pedestal Ultra secundario Sensormatic (paleta antena EAS),S11,29,351885,351884.7,2018-04-25T00:00:00-03:00
S11292625,"Magnetico Embutido 3/8"" Cafe",S11,29,850,850,2023-03-17T00:00:00-03:00
S11292779,Rayo infrarojo PIR Inalambrico DSC WS4904,S11,29,24504,24504,2019-05-17T00:00:00-04:00
S11300031,Etiqueta DR Libros (Sentech),S11,30,20,8403.3613,2019-07-01T00:00:00-04:00
S11300231,Pulsador NA 3A 12V,S11,30,336,336.134,2013-10-24T00:00:00-03:00
S11300284,"Modulo Ampliacion 4208SN 8 zonas Honeywell (Tarjeta expansora Vista 50, 128-250)",S11,30,34200,42.8566058069448,2023-03-21T00:00:00-03:00
S11300286,Modulo Ampliacion 4219 8 zonas Honeywell (Tarjeta expansora Vista 48),S11,30,17438,29.5778650503354,2018-07-03T00:00:00-04:00
S11300289,Sirena Incendio c/Estrobo 12V WP-19,S11,30,9884,9884,2023-05-10T00:00:00-03:00
S11300352,Teclado DSC RFK-5501 Icono con recep inalambrico,S11,30,50255,50255,2017-02-07T00:00:00-03:00
S11300353,Pulsador DSC WS4939 Llavero Inalambrico 4 Botones,S11,30,15920,15920,2018-10-10T00:00:00-03:00
S11300482,Control Remoto Nice 1 Canal Dig RF 3TB AZ-10,S11,30,3955,4.316487,2022-12-29T00:00:00-03:00
S11300498,Modulo Relays Honeywell 4 rele 4204 (para centrales Vista),S11,30,28666,35.3785453586437,2018-07-03T00:00:00-04:00
S11300567,"Sirena 15 W con gabinete, baliza y tamper  BLUNET",S11,30,8300,8300,2023-06-09T00:00:00-04:00
S11300621,Dome Boton Emergencia rojo,S11,30,290,290,2018-06-18T00:00:00-04:00
S11300662,Teclado Paradox K32,S11,30,45240,45240,2022-05-30T00:00:00-04:00
S11300669,Teclado Honeywell 6164SP Espanol Alfanumerico c/4 zonas,S11,30,78300,96.4642109153628,2021-11-30T00:00:00-03:00
S11300681,Expansor 8 zonas ZX8 p/ EVO Paradox,S11,30,43231,43230.8,2023-06-02T00:00:00-04:00
S11300708,Teclado Honeywell 6148SP Espanol retroiluminado,S11,30,17983,24.5484742546986,2016-12-22T00:00:00-03:00
S11300738,Teclado DSC PK-1555 Led 8 zonas,S11,30,16000,16000,2021-12-15T00:00:00-03:00
S11300739,Teclado DSC PK-5500 LCD Alfanumerico,S11,30,63900,63900,2020-12-31T00:00:00-03:00
S11300946,Sirena para interior sobrepuesta 15W 108 Db,S11,30,3685,2790,2016-07-27T00:00:00-04:00
S11300976,Modulo ampliacion Bosch 8 Zonas D8128D (Tarjeta Expansora),S11,30,22883,22878,2021-03-02T00:00:00-03:00
S11301114,Expansor 8 zonas ZX8SP p/ Spectra Paradox,S11,30,25900,25900,2022-05-25T00:00:00-04:00
S11301252,Modulo Interface Serial Honeywell 4100SN (p/ impresora serie Vista),S11,30,80000,123.659071938665,2016-12-02T00:00:00-03:00
S11301255,Teclado Bosch Alfanumerico B920,S11,30,85913,85913,2022-07-27T00:00:00-04:00
S11301302,Soporte para detector IR Itzumi HLSOPORT21,S11,30,393,386.3733,2016-11-11T00:00:00-03:00
S11301303,Teclado Honeywell 6280W Touch Color con audio,S11,30,159036,,
S11301350,Modulo relay Honeywell 1 rele 4101SN (Vista 128-250 V-Plex),S11,30,26329,,
S11301398,Sistema de respaldo celular de tecnología GSM/GPRS,S11,30,99291,96670.2,2021-04-13T00:00:00-03:00
S11301401,Desactivador Sentech,S11,30,141387,117470,2012-04-16T00:00:00-03:00
S11301403,Pedestal Transmisor Sentech (paleta antena EAS),S11,30,576428,478920,2012-04-16T00:00:00-03:00
S11301404,Pedestal Receptor Sentech (paleta antena EAS),S11,30,576428,478920,2012-04-16T00:00:00-03:00
S11301405,Kit de instalacion Sentech,S11,30,0,27110,2012-04-16T00:00:00-03:00
S11301556,Sirena inalambrica Itzumi SIRINTER para NEW D1 Interior con bateria,S11,30,16811,16811.4364,2017-08-22T00:00:00-03:00
S11301579,Sirena electromecanica Klaxon Super M 127dB 220V 1600Hz,S11,30,115335,115335,2017-08-24T00:00:00-03:00
